Num Comments,User Link,DisplayName,Reputation
119,48869,EleventhDoctor,2578
90,280595,Enguroo,2568
110,152310,Captain Cranium,2565
20,519,stacker,2565
30,10150,asfallows,2557
41,123046,user1717828,2556
121,173001,Prof Yaffle,2550
192,42060,d'alar'cop,2546
41,14818,Bjorn,2542
21,147488,ringo,2541
50,18425,Bidella,2539
257,309795,S Conroy,2539
58,55185,Alan K,2529
39,7251,masarah,2521
104,1475,zwol,2514
46,145,Vaibhav Garg,2513
58,113432,SamuelVimes,2512
52,11970,Brian M. Scott,2511
100,169900,agc,2508
229,38322,Pieter Geerkens,2507
309,61126,virmaior,2497
84,244,Peter Mortensen,2468
135,25567,anotherdave,2463
38,229,Xiè Jìléi,2444
41,10738,Bob,2438
199,32192,spiceyokooko,2428
51,124946,landocalrissian,2427
196,51153,Stan,2427
151,272685,JeremyC,2427
64,123715,Aishwarya A R,2426
19,3918,Shaun,2422
83,5558,donothingsuccessfully,2409
136,70998,Sam,2398
133,60894,tobyink,2396
70,91338,Anton,2395
241,23300,user568458,2393
81,11241,prash,2388
127,134753,Kyle,2388
161,336,5arx,2384
241,73094,Honza Zidek,2383
90,20364,Old Pro,2382
111,78319,Dave Magner,2381
119,168485,Cathy Gartaganis,2380
293,19290,Tristan,2369
55,16829,Paul Richter,2365
156,33012,Joe Z.,2363
40,82239,Peter,2361
259,116014,Zan700,2359
85,12463,Kyle Pearson,2355
31,2181,thesunneversets,2348
12,182144,Justin,2343
125,17645,Amos M. Carpenter,2340
46,126025,Jimmy,2332
35,513,Dori,2331
134,120439,Vun-Hugh Vaw,2329
313,3540,Ben Voigt,2327
52,49506,scohe001,2319
69,5735,Neil,2306
70,48354,Jacobm001,2299
99,8339,Ben Hocking,2297
102,77520,user3847,2284
75,8737,Jay Elston,2281
186,24168,American Luke,2279
216,244135,Kace36,2277
133,243032,Green Grasso Holm,2277
12,2581,Yousui,2276
177,273365,ubi hatt,2275
5,13,serg,2270
193,24129,The Photon,2269
72,50790,Gurpreet K Sekhon,2252
85,139423,macraf,2250
158,4912,jbelacqua,2246
221,98198,SAH,2244
106,32999,starwed,2240
71,44909,DougM,2227
108,89332,Tim,2226
47,129,njd,2225
253,210281,MikeJRamsey56,2222
71,102027,Mark Thompson,2213
172,92689,Theresa,2211
76,79984,Manish Giri,2211
67,83222,aaa90210,2187
22,482,JFW,2186
154,86052,Brillig,2185
117,160195,Revetahw,2185
88,112649,amdn,2184
113,97958,Minnow,2184
67,24443,rsegal,2184
186,121538,Sankarane,2182
160,72698,Jon Jay Obermark,2181
149,16138,speedyGonzales,2164
56,233354,Kiloran_speaking,2156
99,314435,David Robinson,2148
76,103476,hunterhogan,2147
25,193674,J. Siebeneichler,2146
125,11007,Ben,2140
69,5828,n0nChun,2137
13,3711,Borror0,2133
77,2657,dave,2127
117,20776,Fr0zenFyr,2126
52,3727,Oddthinking,2124
28,142429,Academiphile,2119
193,115841,Lucky,2117
433,240807,Weather Vane,2114
75,84864,Richard,2113
48,125214,Chris Subagio,2099
157,85490,R Mac,2097
310,58319,user58319,2095
54,299611,Davislor,2095
33,147593,peerless,2089
237,147283,AleksandrH,2088
120,18981,moonstar,2087
94,80220,Senex Ægypti Parvi,2082
47,227315,Bhoomika Arora,2071
54,25426,Ataraxia,2071
101,2397,mattdm,2064
55,53985,long,2051
77,208726,UserEpsilon,2038
52,112425,Michael J.,2032
119,23562,asymptotically,2028
154,154363,Al Maki,2026
51,39857,congusbongus,2018
62,116338,Cord,2014
86,97531,Kevin,2012
22,71667,bruised reed,2006
255,148236,haha,2002
12,69090,John Feminella,2001
154,64451,Louel,2000
211,73636,CJ Dennis,1998
15,139185,gmauch,1997
62,2477,Chris Cudmore,1994
56,11835,Raku,1992
120,15679,T.J. Crowder,1989
51,89306,chiastic-security,1989
29,57034,Mario Elocio,1989
21,315,mafu,1988
253,105551,Tom,1986
221,182960,vpn,1983
46,221970,Oosaka,1981
61,3690,Meysam,1979
212,148071,ralph.m,1978
35,217913,satnam,1975
153,15050,sarah,1974
66,141194,Graham Nicol,1964
40,126955,Nick,1963
52,238742,rosslh,1962
3,307308,drewhart,1961
204,5868,Charles,1961
12,55380,Tom.Bowen89,1959
109,549,mfg,1959
32,5981,Otavio Macedo,1952
36,5188,Fixee,1949
76,92394,Maverick,1949
11,108066,user1108,1949
175,214952,Chaim,1946
61,39630,St John of the Cross,1941
140,185055,TonyK,1939
37,43,vonjd,1935
124,292857,user22542,1935
37,308,Daniel Roseman,1934
80,24436,rosends,1930
12,2237,Sid,1929
46,23616,SEL,1928
30,9810,bracho monacho,1927
87,126173,Barid Baran Acharya,1924
18,62497,Ilythya,1921
42,12988,AakashM,1921
10,92883,Patrick Wood,1920
35,7133,mfe,1920
60,129843,Ben,1918
25,8920,LarsTech,1915
100,2161,jcolebrand,1915
40,116295,Jack Graveney,1914
41,6847,Loquacity,1910
49,38718,Bruce James,1907
11,188,Pavel Radzivilovsky,1900
119,22531,Charles,1889
30,129987,coteyr,1889
72,117192,Spratty,1888
43,123190,arp,1887
72,120573,Michael Broughton,1884
177,3085,Gennady Vanin Геннадий Ванин,1877
53,70237,Alicja Z,1876
38,10286,narx,1875
266,102510,TripeHound,1874
19,45,Midhat,1873
45,21286,apsillers,1868
84,508,lovespring,1868
83,1635,Rahul,1867
15,6653,check123,1865
62,9524,Ryan Haber,1863
51,60650,Denis de Bernardy,1862
132,126777,Lamar Latrell,1858
87,37040,verbose,1855
203,31085,Andrew Lazarus,1845
126,11856,dotancohen,1843
31,3902,Sylverdrag,1840
132,220151,Gustavson,1838
48,163363,Christophe Strobbe,1836
492,99951,David Garner,1836
168,247141,psosuna,1831
58,234692,JeffUK,1830
18,7752,krubo,1830
33,6135,Robb,1828
14,49838,LindaCamillo,1823
82,64872,dockeryZ,1823
83,69422,Level River St,1820
19,14884,silves89,1818
98,251739,ArchContrarian,1816
98,22387,Alex W,1812
2,129317,pyro,1808
18,133955,wythagoras,1806
69,10594,Saeed Neamati,1806
40,240429,SteveES,1797
406,193528,Will Crawford,1795
98,243245,as4s4hetic,1790
260,146168,The Nate,1789
157,2851,dmckee,1779
17,180042,HemiPoweredDrone,1779
49,51194,ex-user2728,1778
161,5249,Theta30,1777
74,30551,Listenever,1776
41,64737,Manish,1771
23,9625,719016,1771
17,803,keithjgrant,1769
69,15487,Eduardo,1767
307,62732,Steve Jessop,1766
46,157900,John Go-Soco,1763
15,34,Gary,1760
230,147966,Cargill,1757
10,13282,Evan M,1749
21,170145,Thomas Francois,1748
195,48335,CowperKettle,1743
120,4335,neil,1740
137,121949,SomethingDark,1740
65,4244,PSU,1738
22,83,Paul Lammertsma,1738
113,121024,Adam,1737
62,208,Andrew Vit,1737
461,70061,DCShannon,1735
49,2469,Eric,1731
102,16097,ThePopMachine,1731
30,44985,Nobilis,1727
82,32047,gmcgath,1722
116,251468,Rupert Morrish,1720
65,63816,Theodore Broda,1716
12,792,Dian,1714
51,3702,Andrew,1710
25,161832,David McKnight,1709
47,100595,Coty Johnathan Saxman,1706
6,13081,David Bowman,1703
28,42681,Athanasius,1702
52,1717,awe,1700
51,6556,Henrik N,1699
70,128688,Vladimir Kornea,1697
47,4771,aslum,1696
34,16527,smithkm,1687
101,256619,Lee Leon,1686
45,69750,kolossus,1685
55,167502,Icy,1681
44,154483,Law29,1680
97,879,Seamus,1679
39,2717,Mitch Schwartz,1679
23,105687,samgak,1677
65,143939,Michael,1675
3,25645,Danield,1669
53,10899,whoabackoff,1666
59,42740,RemarkLima,1664
30,26,jackgill,1661
15,140397,GeoffAtkins,1661
48,66076,pavja2,1659
17,6,MatthewMartin,1659
26,5130,Concrete Gannet,1656
42,113121,PCARR,1656
79,70686,Peter A. Schneider,1655
102,201535,ohwilleke,1655
15,7127,Rex Kerr,1654
12,7756,matthias,1654
62,115362,bobro,1654
28,70697,Joce,1651
59,36914,camelbrush,1649
91,14048,Sara Costa,1646
18,649,Gaurav,1644
64,8345,Georges Elencwajg,1643
24,264,Manjima,1642
55,572,mskfisher,1631
57,16133,mikeY,1629
3,17589,Spoxjox,1626
173,52557,Giambattista,1623
50,28,Robert Cartaino,1620
178,75136,user21820,1619
28,47850,Kyle Hale,1615
24,2707,bikeboy389,1615
155,151575,Yay,1613
88,147068,Dinesh Kumar Garg,1610
48,147281,Jeremy,1609
197,16510,einpoklum,1607
77,113999,3kstc,1607
24,20519,Bill Lefurgy,1605
35,573,ssakl,1598
9,165,grokus,1595
33,2953,Joost Schuur,1592
39,202177,fralau,1592
385,166321,Alan Carmack,1588
59,173296,KWinker,1587
29,10608,Harold Cavendish,1579
33,14218,Lyndon White,1579
19,301383,Robyn Simpson,1578
27,127519,Aurast,1578
70,1199,Louis Rhys,1578
11,10760,Alan,1577
109,30763,Sayan,1572
166,39407,ktm5124,1572
46,7129,dnagirl,1571
75,7064,jsj,1570
51,189,Dennis Williamson,1563
52,320335,Trevor Christopher Butcher,1562
77,99166,Gary Botnovcan,1562
44,98797,Stephie,1557
179,162061,Nagarajan Shanmuganathan,1556
9,914,Picturepocket,1556
8,124603,Edheldil,1555
32,98,Anonymous,1555
13,257,JoFrhwld,1554
126,99792,miltonaut,1551
25,5836,Ergwun,1550
277,60968,GreenAsJade,1545
32,1267,morganpdx,1540
127,305672,Billy,1540
8,48358,Andrew Ng,1539
22,8168,ajk,1538
7,128097,Brent Washburne,1538
62,6370,Garet Claborn,1537
249,86600,guifa,1536
96,603,Django Reinhardt,1529
276,80007,Ooker,1525
212,11003,smci,1522
55,2396,WAF,1518
121,73713,gnasher729,1518
112,23665,Born2Smile,1518
26,80682,spacetyper,1517
96,155040,Sakatox,1517
163,31834,Tyler James Young,1516
20,6474,Jordaan Mylonas,1515
43,108628,djna,1509
59,208813,freeling10,1508
46,7734,shipr,1502
25,116984,Quillmondo,1500
4,213527,Avery,1499
21,153997,EditingFrank,1499
28,3244,Jeanne Pindar,1498
17,6337,Nick Bedford,1498
32,71273,Aaron K,1495
29,66208,Shisa,1495
704,61979,Anonym,1493
52,47377,toryan,1493
32,317505,Carly,1489
44,1725,glenatron,1488
22,3663,Nathan Long,1488
150,12124,Karl Knechtel,1483
102,94553,H.R.Rambler,1480
66,6300,Pete Wilson,1479
35,140846,G. Ann - SonarSource Team,1475
27,65189,M. K. Hunter,1473
2,318828,Dmann,1472
75,16068,Useless,1472
5,28455,Dan Hauer,1469
66,301781,De Novo,1467
1,171193,Chris,1466
12,1552,munin,1465
80,51414,Dewi Morgan,1463
188,13786,Mechanical snail,1462
121,18250,Alan Munn,1462
149,71165,painfulenglish,1459
74,48331,Gob Ties,1457
73,51660,Dom,1451
16,130752,Randall Stewart,1449
45,202294,alex,1449
10,286607,Chromane,1446
12,128522,gabe3886,1444
94,6614,Amadan,1441
41,8794,Wesley Murch,1439
66,4877,John Bartholomew,1438
239,55308,Jason C,1431
86,16812,ipso,1428
73,86226,Jasper Locke,1428
95,119050,Jascol,1427
61,57265,Silverfish,1426
2,162327,brandondoge,1424
95,1778,ukayer,1422
14,1114,Wadih M.,1421
8,928,In the Booley House,1420
14,199369,Werrf,1420
80,241763,Jeff Morrow,1420
65,21921,yuritsuki,1417
58,6319,Eric Lippert,1415
53,76850,Veronica Diamond,1413
23,8369,Sarawut Positwinyu,1413
304,73676,Casey,1409
39,33092,Cmillz,1403
32,5199,xzhu,1401
97,7328,Phoenix,1399
71,3718,HorusKol,1399
115,239282,Robin Hamilton,1398
40,108305,Daron,1396
67,55517,Jolenealaska,1396
162,38255,Pharap,1395
23,163544,MoondogsMaDawg,1390
17,298,Chris,1390
11,63318,mungflesh,1389
32,10460,xpda,1388
35,38936,Kenny LJ,1388
141,114385,Yohann V.,1386
12,105607,Ronald,1386
406,78616,pazzo,1383
72,2235,Benubird,1383
118,8190,Joachim Sauer,1381
31,120712,Sawbones,1380
25,990,Doug,1379
12,222647,Artemisia,1378
23,214961,Cameron,1378
2,31,Brendan Berg,1374
23,71503,almcnicoll,1374
20,163213,Nij,1372
27,26633,amphibient,1372
19,6676,Graham Borland,1371
42,161516,Mike C,1369
11,25451,amacy,1369
31,43004,senshin,1367
26,50845,Greg Hullender,1366
12,9968,EnergyNumbers,1363
